README.mdiso3;year;month;fatalities
ALB;2006;11;
ALB;2006;12;
ALB;2007;1;
ALB;2007;2;
ALB;2007;3;
ALB;2007;4;
ALB;2007;5;
ALB;2007;6;
ALB;2007;7;
ALB;2007;8;
ALB;2007;9;
ALB;2007;10;
ALB;2007;11;
ALB;2007;12;
ALB;2008;1;
ALB;2008;2;
ALB;2008;3;
ALB;2008;4;
ALB;2008;5;
ALB;2008;6;
ALB;2008;7;
ALB;2008;8;
ALB;2008;9;
ALB;2008;10;
ALB;2008;11;
ALB;2008;12;
ALB;2009;1;
ALB;2009;2;
ALB;2009;3;
ALB;2009;4;
ALB;2009;5;
ALB;2009;6;
ALB;2009;7;
ALB;2009;8;
ALB;2009;9;
ALB;2009;10;
ALB;2009;11;
ALB;2009;12;
ALB;2010;1;
ALB;2010;2;
ALB;2010;3;
ALB;2010;4;
ALB;2010;5;
ALB;2010;6;
ALB;2010;7;
ALB;2010;8;
ALB;2010;9;
ALB;2010;10;
ALB;2010;11;
ALB;2010;12;
ALB;2011;1;
ALB;2011;2;
ALB;2011;3;
ALB;2011;4;
ALB;2011;5;
ALB;2011;6;
ALB;2011;7;
ALB;2011;8;
ALB;2011;9;
ALB;2011;10;
ALB;2011;11;
ALB;2011;12;
ALB;2012;1;
ALB;2012;2;
ALB;2012;3;
ALB;2012;4;
ALB;2012;5;
ALB;2012;6;
ALB;2012;7;
ALB;2012;8;
ALB;2012;9;
ALB;2012;10;
ALB;2012;11;
ALB;2012;12;
ALB;2013;1;
ALB;2013;2;
ALB;2013;3;
ALB;2013;4;
ALB;2013;5;
ALB;2013;6;
ALB;2013;7;
ALB;2013;8;
ALB;2013;9;
ALB;2013;10;
ALB;2013;11;
ALB;2013;12;
ALB;2014;1;
ALB;2014;2;
ALB;2014;3;
ALB;2014;4;
ALB;2014;5;
ALB;2014;6;
ALB;2014;7;
ALB;2014;8;
ALB;2014;9;
ALB;2014;10;
ALB;2014;11;
ALB;2014;12;
ALB;2015;1;
ALB;2015;2;
